repo	commit_hash	code_change	change_type	bug_fixing_commit_count	is_buggy_line	code_change_remove_common_tokens
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 	added	0.0	0.0	
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 + self  profile_attributes  items    	added	0.0	0.0	+ self profile_attributes items 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def get_host_ip_addr  self   	added	2.0	1.0	get_host_ip_addr self 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def_cleanup  self  instance_name   	added	5.0	1.0	def_cleanup self instance_name 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 help = <STR>   	added	10.0	1.0	= <STR> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 f  close   	added	0.0	0.0	f close 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 except Exception  e  	added	19.0	1.0	Exception e 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 LOG = logging  getLogger __ name__  	added	1.0	1.0	LOG = logging getLogger __ name__ 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 self _operator  create_lpar  lpar_inst  	added	2.0	1.0	self _operator create_lpar lpar_inst 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 under the License  	added	2.0	1.0	under the License 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def test_spawn  self   	added	9.0	1.0	test_spawn self 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 PowerVM LPAR configuration attributes  	added	1.0	1.0	PowerVM LPAR configuration attributes 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 except exception  PowerVMLPARInstanceNotFound  	added	3.0	1.0	exception PowerVMLPARInstanceNotFound 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def host_state  self   	added	2.0	1.0	host_state self 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 from nova  virt  powervm import driver as powervm_driver 	added	15.0	1.0	nova virt powervm driver powervm_driver 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 stdin = chan  makefile  <STR>  bufsize  	added	0.0	0.0	stdin = chan makefile <STR> bufsize 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 <STR>  None   	added	0.0	0.0	<STR> None 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 return self _powervm  get_host_stats  refresh = refresh  	added	1.0	1.0	self _powervm get_host_stats refresh = refresh 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 file_path  remote_path  	added	2.0	1.0	file_path remote_path 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 http  / / www  apache  org / licenses / LICENSE - <NUM>  <NUM> 	added	2.0	1.0	http / / www apache org / licenses / LICENSE - <NUM> <NUM> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 Some drivers chose to cache images for instances on disk  This method 	added	0.0	0.0	Some drivers chose to cache images instances on disk This method 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 return [ ] 	added	0.0	0.0	[ ] 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 <STR> ]  	added	11.0	1.0	<STR> ] 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 <STR> Start a LPAR instance  	added	0.0	0.0	<STR> Start a LPAR instance 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 self _powervm = operator  PowerVMOperator   	added	2.0	1.0	self _powervm = operator PowerVMOperator 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 cpus = instance [ <STR> ] 	added	12.0	1.0	cpus = instance [ <STR> ] 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 <STR> Get the current status of an LPAR instance  	added	1.0	1.0	<STR> Get the current status of an LPAR instance 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def lsmap  self  args = <STR>   	added	2.0	1.0	lsmap self args = <STR> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 <STR> Method to connect to remote system using ssh protocol  	added	0.0	0.0	<STR> Method to connect to remote system using ssh protocol 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 megabyte_size = int  size / megabyte  + <NUM> 	added	3.0	1.0	megabyte_size = size / megabyte + <NUM> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 img_file = file  source_path  <STR>  	added	2.0	1.0	img_file = file source_path <STR> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 stdout = chan  makefile  <STR>  bufsize  	added	0.0	0.0	stdout = chan makefile <STR> bufsize 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 from nova  virt  powervm import common 	added	21.0	1.0	nova virt powervm common 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 for the partition and / or its selected profile  	added	0.0	0.0	the partition / its selected profile 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 return lpar_instance 	added	3.0	1.0	lpar_instance 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	  param instance  Instance object as returned by DB layer  	added	1.0	1.0	param instance Instance returned by DB layer 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 a copy of the License at 	added	4.0	1.0	a copy of the License at 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 from nova import exception 	added	39.0	1.0	nova exception 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 from nova  compute import vm_states 	added	23.0	1.0	nova compute vm_states 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 return ssh 	added	0.0	0.0	ssh 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 raise exception  PowerVMLPARCreationFailed   	added	11.0	1.0	exception PowerVMLPARCreationFailed 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 self  assertTrue  self  powervm_connection  instance_exists  name   	added	0.0	0.0	self assertTrue self powervm_connection instance_exists name 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 return stdout  strip    splitlines   	added	3.0	1.0	stdout strip splitlines 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 <STR> Creates a logical volume with a minimum size  	added	3.0	1.0	<STR> Creates a logical volume a minimum size 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 name = os  path  split  local_path  [ <NUM> ] 	added	0.0	0.0	name = os path split local_path [ <NUM> ] 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	  raises  PowerVMNoSpaceLeftOnVolumeGroup 	added	4.0	1.0	raises PowerVMNoSpaceLeftOnVolumeGroup 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def get_vhost_by_instance_id  self  instance_id   	added	2.0	1.0	get_vhost_by_instance_id self instance_id 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 conf_data  append  <STR> %  key  value   	added	0.0	0.0	conf_data append <STR> % key value 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 perform PowerVM Logical Partition  LPAR  deployment and management  	added	0.0	0.0	perform PowerVM Logical Partition LPAR deployment management 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 disk_name = self _operator  create_logical_volume  size  	added	5.0	1.0	disk_name = self _operator create_logical_volume size 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 stdin  flush   	added	0.0	0.0	stdin flush 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 self  assertEqual  info [ <STR> ]  <NUM>  	added	0.0	0.0	self assertEqual info [ <STR> ] <NUM> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 return <STR> + BaseCommand  rmvdev  self  args = args  	added	1.0	1.0	<STR> + BaseCommand rmvdev self args = args 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 return len  self  list_instances    	added	0.0	0.0	self list_instances 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def_create_lpar_instance  instance   	added	6.0	1.0	def_create_lpar_instance instance 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 min_mem = mem_min  desired_mem = mem  	added	1.0	1.0	min_mem = mem_min desired_mem = mem 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 self _operator  start  instance_name  	added	6.0	1.0	self _operator start instance_name 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 self  run_command  self  command  rmdev  <STR> % disk_name   	added	0.0	0.0	self run_command self command rmdev <STR> % disk_name 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 is an opportunity to do management of that cache which isn ' t directly 	added	0.0	0.0	an opportunity to do management of that cache which isn ' t directly 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 cmd = self  command  lsvg  <STR> 	added	4.0	1.0	cmd = self command lsvg <STR> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def copy_image_file  self  sourcePath  remotePath   	added	3.0	1.0	copy_image_file self sourcePath remotePath 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 disk_info = self _operator  get_disk_info   	added	2.0	1.0	disk_info = self _operator get_disk_info 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 if  size % megabyte  ! = <NUM>  	added	3.0	1.0	size % megabyte ! = <NUM> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 POWERVM_MIN_MEM = <NUM> 	added	2.0	1.0	POWERVM_MIN_MEM = <NUM> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def__ init__  self   	added	5.0	1.0	def__ init__ self 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def mksyscfg  self  args = <STR>   	added	2.0	1.0	mksyscfg self args = <STR> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 % instance [ <STR> ]  	added	9.0	1.0	% instance [ <STR> ] 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	  returns  Tuple - - a tuple of  stdout  stderr  	added	0.0	0.0	returns Tuple - - a of stdout stderr 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 lpar_id = self _operator  get_lpar  instance [ <STR> ] 	added	6.0	1.0	lpar_id = self _operator get_lpar instance [ <STR> ] 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 if source_cksum ! = output [ <NUM> ]  	added	3.0	1.0	source_cksum ! = output [ <NUM> ] 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 block_size = <NUM>x<NUM> 	added	2.0	1.0	block_size = <NUM>x<NUM> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 class PowerVMInsufficientFreeMemory  exception  NovaException   	added	1.0	1.0	PowerVMInsufficientFreeMemory exception NovaException 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 return vhosts [ instance_hex_id ] 	added	0.0	0.0	vhosts [ instance_hex_id ] 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 disk_name = self _operator  get_disk_name_by_vhost  vhost  	added	4.0	1.0	disk_name = self _operator get_disk_name_by_vhost vhost 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 ssh  	added	0.0	0.0	ssh 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 LOG  debug _ <STR>  % exit_status  	added	2.0	1.0	LOG debug _ <STR> % exit_status 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def manage_image_cache  self  context   	added	2.0	1.0	manage_image_cache self context 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 <STR> Get the disk usage information  	added	0.0	0.0	<STR> Get the disk usage information 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 cmd = self  command  mklv  <STR> %  found_vg  size / <NUM>   	added	1.0	1.0	cmd = self command mklv <STR> % found_vg size / <NUM> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 LOG  debug _ <STR>  % file_path  	added	8.0	1.0	LOG debug _ <STR> % file_path 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 chan  exec_command  <STR>  	added	0.0	0.0	chan exec_command <STR> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def list_instances_detail  self   	added	1.0	1.0	list_instances_detail self 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	  param host  hostname that compute manager is currently running 	added	0.0	0.0	param host hostname that compute manager currently running 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def__ delitem__  self  key   	added	0.0	0.0	def__ delitem__ self key 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	  param command  string containing the command to run  	added	1.0	1.0	param command string containing the command to run 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 if db_instance [ <STR> ] in powervm_instances  	added	0.0	0.0	db_instance [ <STR> ] powervm_instances 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 LOG  warn _ <STR> 	added	11.0	1.0	LOG warn _ <STR> 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 def copy_file_to_device  self  sourcePath  device   	added	3.0	1.0	copy_file_to_device self sourcePath device 
nova	e1df9606c1cb54db6f9e91fb59f0f6c7636b334c	 state = self _powervm  get_info  instance_name  [ <STR> ] 	added	2.0	1.0	state = self _powervm get_info instance_name [ <STR> ] 
